videoId,videoComments,videoLikes,videoViews
HodCjnGv8Ag,73,1764,70129
8IplXd2batg,74,713,20045
lzP14izI4lQ,789,7703,422284
fM4qTMfCoak,149,5219,692698
9ZtpsRibgY8,47,852,40813
yF5XXQ7X19U,81,207,6277
aEZbEPlCxqw,48,674,11861
cxPAvoIbsIk,254,5328,231235
JkeiEYkLEvM,80,3202,223023
Lx16T9cl5ng,161,1833,89463
Gs15V79cauo,46,1579,55877
UCOgtcwwim4,61,1573,54863
rzR_cKnkD18,124,3602,207020
djgtWqkZE84,87,2110,448254
XzEXB12N1xs,81,1997,91068
VC2BL_ChGeg,32,846,25469
YoqH1XbeC10,61,1276,61533
ZNGAltOfrhU,83,781,36180
fRs2OGlwJ6E,84,1729,37755
7f4tnQ9bcKU,39,273,8980
fdZ_EjaptPw,100,2324,75978
Bc2dWI3vnE0,83,1500,103612
41JItgtYGDo,60,1377,82159
JpxCt3kvbLk,83,3293,153273
TudQZtgpoHk,202,3494,157800
1C8DSkbYkWY,183,2094,86803
HTN6rccMu1k,86,1839,111739
uHGOnDdKpK4,39,1587,74725
mH9GBJ6og5A,222,5435,256799
n_nyz8_Lsgw,56,906,24303
cqcUk6hC5hk,46,1253,87403
Ib5UUBYzvPw,92,1196,47218
e59u5YyuEfQ,68,1395,87960
HokWEW7UP1M,127,255,9054
1m3CPP-93RI,172,3794,158438
6Z8SdN52GuU,45,2339,80615
1XccsgvoajU,102,1613,43333
6WPi7ifioP8,50,195,6932
8LP3s5rN70o,41,242,6086
iww-S--gRcw,61,342,7746
pwVIMv0o5Qs,45,1231,42800
wN07Wwtp6LE,74,997,53104
oMZA8v4JECY,50,772,44070
Xniji2m85LY,77,951,52761
SkzmbeYCtiU,57,1446,43116
Zs2BZkgoivM,130,1185,62966
gbJn2Ls2QsI,175,1319,74225
8vmKtS8W7IQ,106,3355,159200
-28YtPZ5u4s,58,772,27404
1oj3uLVTH4o,92,1587,42025
qJJEf6p8xH0,37,1053,19376
bPrmA1SEN2k,527,22665,2128989
YUPvQptI7bE,80,966,17385
QrwZYOAmkwk,42,2780,31524
PqRWdPf7o34,39,298,5980
vn71-FA0qBA,132,2508,71862
i4a0Of22QRg,52,1094,82970
d6Jw5hGb65Y,130,1084,66172
8bFKyb77vp0,67,2271,106885
8hhMUwfYMag,37,381,10399
Vg3dS-NLUT4,162,3717,182646
Aw2YYffK-Y8,51,626,14032
EAWR1kFtEGo,98,1427,50221
1oW2_QAuAyI,100,1739,51653
H0rwOq-miFs,39,418,10333
NLb0Ab_xa5g,38,567,34198
hBH8dYn2zxY,234,4708,141853
2reMI_i24P4,122,2220,56992
HWbbQChO_u4,63,548,18578
xKCrCyJV9Os,174,3105,79260
abppwF3MCG0,44,1083,32727
CJj7DtQ593s,36,175,9134
dGNJ-feQLC4,111,4682,156284
8arGWdq_KL0,65,1311,103084
F-X82zhIfBo,202,6773,229961
S_F_c9e2bz4,138,4933,589818
z8sxaUw_f-M,149,2539,153781
